review,lable,
  Hashim Khan gaind ke peachey bhagte bhagte kabhi nahein thakte they,Positive,
 Thakawat naam ki cheese se to who waqif hi nahein they,Positive,
 Hashim naqabil yaqeen salahyaton ke malik they,Positive,
 Hashim cheete ki tarah phurti se gaind (ball) per lapakte they aur aise qabil e deed  strokes khelte they is ka tasawar bhi mumkin nahein tha,Positive,
  Isi liye  kaha jata hai ke Hashim ne Squash ke kai strokes ijad keay yeh strokes sirf wahi khail sakte they,Positive,
 Inn strokes ki badaulat Hashim Khan ne shuru se hi shohrat kamai aur apne harifon per dabao qaim kerne mein kamyab rahe,Positive,
"All India champion Abdul Bari ,Hashim ka pahla shikar bane yeh 1944 ki bat hai",Positive,
   Abdul Bari uss waqt ke behtareen khelari mane jate they jinhein drop short lagane mein khasi maharet hasil thi lakin Hashim ke samne hetyar dalne pare amm khelari Abdul Bari ke drop short ka jawab dene sey qasir tha lakin Hashim ne apne pehle hi drop short ko flap ker deya,Positive,
 1944 mein Bombay mein hone wale All India tournament mein shekhst khane ke bad Abdul Bari har bar Hashim Khan ka shikar bante rahe Abdul Barika zor toot chuka tha Hashim Khan ne Abdul Bari ki har martaba shikasht sey do char ker ke apni mokammal bartari ka saboot deya,Positive,
 Lakin Hashim Khan ko rastah faraham keya gaya aur chandah akhttha ker ke unhein qismat azmai ke leay England rawana ker deya gaya 1951 mein British open ki shirket ke leay Hashim pahonch gaey aur atey hi unhon ne dhamaka ker deya,Positive,
Lakin woh final mein Hashim Khan sey takra gaey Europe ke sarzameen per pehla tournament khelne wale Hashim Khan ne chand minton mein hi Mahmood ka final mein safaya ker deya iss khabar sey Squash ki dunia mein aik tahalka mach gaya yeh aik bahot bara set tasawar keya gaya,Positive,
  Aor pher woh ghari agae is ka sab ko intezar tha London ke Lance down club mein British open ka agaz hua Mahmood Alkareem ne apne title ke dafa mein masroof they magar unki bad qismati ke final mein aik martabah pher Hashim Khan hi un ke samne they,Positive,
Hashim ne Mahmood ke sath British open mein bhi wahi salook keya jo unhon ne Squash open final mein keya tha Mahmood ko aik martabah pher ibretnak shikasht ka samna kerna para aur almi title pehli martabah Pakistan ke pass agaya,Positive,
 Ab kisi ko hairat nahein thi ab sab log mutfiq ho chuke they ke Hashim Khan hi asli champion hai yahein sey iss kahani ka agaz hota hai Khan family Squash ki dunia mein aie aur cha gaie,Positive,
1951 aur 1963 ke darmeyan hone wale 13 British open final mein rasai hasil karne wale 26 khelaryon mein sey 22 ka taluq Khan family sey tha Hashim 8 martabah British open ke final mein pahonche jabke unke bhai Azam Khan bhi sat martabah final kheley,Positive,
 Azam ko yeh azaz hasil hua ke unhon ne British open ka sab sey kem waqt mein jeeta apne hi kazan Roshan ko bari maharet set zair keya tha yeh bara hairat angaiz moqabla tha jis mein Azam ne Roshan ko koi moqa nahein deya shaiqeen to yeh bhi samajhne lage they ke momkin hai ke Roshan mokammal tor per fit nah on lakin aist koi bat nahein thi Azam khail per mokammal tor per chaey huey they aur Roshan jaise azeem khelari bhi bea bes ho gaey they,Positive,
 Iss aik tarfa final ke bad hi British open ke muntazmeen ne faisla keya tha ke teesre aur chouthe position ke leay bhi final wale din hi moqablah hua kare ga take shaiqeen ko khail ka lutf hasil ho sake,Positive,
 Hashim ne jald hi American squash mein apna moqam bana liya,Positive,
 Barhti umer ke bawajood Hashim America aur Canada mein hone wale moqablon mein sur khuru rahe,Positive,
"Jab Hashim, Azam aur roushan ne American cricket ko khair baad kaha to un ki nasal ne kamyabi ke safar ko jari rakha Mohibbullah Khan 1969 tek American tournament jeette rahe pher Hashim ke bare sahebzade Sharif Khan agae",Positive,
North American title 13 sal mein 12 martabah jeet ker Sharif ne apne walid aur apne khandan ka ser mazeed uncha keya American cricket mein gair mamooli kar kerdagi un ki ala salahyaton ka munh bolta saboot thi,Positive,
 1950 ki dahai mein Khan family keg air mamooli karnamon ki badault Pakistan Squash ki dunia mein sare fahrist raha,Positive,
1964 ke bad jab Mohibbullah Khan ne British open title jeeta Pakistan ko yeh ejaz 1965 mein hasil hua iss martaba dono Pakistani khelari Qamar Zaman aur Gogi Allauddin pahonche they lahza title to Pakistan ana hi tha Qamar ne Gogi ko shikast de ker pahli martaba Open jeetne ka ejaz hasil keya,Positive,
 Almi cricket mein kai umda khelaryon ki maujudgi ke bawajood Jaif Hint 1976 sey 1981 tek British open ka ejaz jeette rahe Hint bahot achcha khelte they aur un ki ala technic ko matt dene ke leay kisi bahot hi azeem khelari ki zaroorat thi ,Positive,
  Iss azeem hasti ka nam Jahangir Khan tha jis ne Hint ko Squash ko khair bad kahne per majboor ker deya Jahangir ki kahani iss fateh alam ki kahani hai jo apni na qabil yaqeen salahyaton ki bunyad per bagai ruke jadoo jagata raha unhein Squash ka Sikender E Azam bhi kaha ja sakta hai jis ke samne koi ruk nahein pata tha,Positive,
 Jahangir ne Squash ki dunia mein 1979 mein  qadam rakah tha iss sal Australia mein hone wali world champion ship mein unko iss leay moqa deya tha ke woh chand din pahle hi beemar per jane ki waja sey mokammal tour per sehatyab nahein huey they lakin issi sal Jahangir ne 15 sal ki umerw mein World Amateur title jeet ker yeh sabit ker deya ke uski shakal mein aik tareekh saz khelari chupa hua hai aur ane wale salon mein bilkul aisa hi hua,Positive,
 Rahmat Khan aur Torsam Khan ka irada tha ke woh England mein aik achche Squash club mein malkana haqooq hasil ker lein aur wahan Jahangir Khan ko bola ker training di jae take woh Australia ke Haif Hint ki mosalsal perwaz ko rokne ka bandobast ker sakein,Positive,
 Jahangir Khan apne barae bhai Torsam ke khail sey bahot motasir they,Positive,
 Rahmet ne Jahangir Khan ko dobara Squash kort mein lane mein aham kirdar ada keya Rahmet ko yeh andaza tha ke Jahangir mein khudad salahyatein maujood hain aur umda training aur coatching sey un ke khail mein mazeed nikhar paida ho sakta hai,Positive,
 Rahmet ne apne khandan ke buzurgon aur Pakistan Inter National Air lines ke ohdedaron ko razi ker leya ke England jaker hi Jahangir woh sare ezazat hasil ker sakta hai jis ki sab ko tamanna hai Rahmet Khan ko ejazat to mil gai lakin ajpne mansoobe ko amli jama pehnane ke leay unhein do sal ki mohlet di gai,Positive,
 Aur theek do sal bad woh khab haqeeqat mein tabdeel ho gaya woh mission kamyab raha jis per Rahmet Khan rawana huey they 28 November 1979 Torsam Khan ka inteqal hua tha aur 28 November 1981 ko Jahangir ne Canada ke shaher Toronto mein Jaif Hint ko hara ker nae Almi Champion banne ka ejaz hasil keya,Positive,
 Simi final mein Jahangir ne Hadayat Jahan ko shikst di thi jabke Hint ne doosre simi final mein Faqmer Zaman ko haraya tha 34 sala Hint World open mein naqabil taskher chale arahe they aur 1975 sey hone wale iss tournament mein har bar fateh lout rahe they,Positive,
 Hint ne pehla game 7 9 sey jeeta magar 58 minut tek chalne wale iss game sey andaza hone laga tha ke Jahangir hathyar dalne ke mood mein nazar nahein ate 56 minut ke taweel dauranya wale pehle game mein hi 34 sala Hint ko tawaqat sey zayada jaddo jahed karna pari thi,Positive,
 17 sala Jahangir ne Hint ko itna zayada pehle hi game mein thaka deya tha ke un ki tawanai mein kami nazar ane lagi thi Hint apne harifon ko thaka ker harane mein mashhoor they lakin iss roze woh khud shikar ho rahe they yeh umda mansooba bandi ka nateja tha Jahangir ne pehla game iss andaz mein khela tha ke usey zayada sey zayada lamba keya ja sake,Positive,
 Aur yahan se aik ahad ki shuruat huein aenda panch salon tek Jahangir Khan ko iss dunia ka koi bhi khelari hara na saka iss dauran unhon ne 500 sey zayada matches khele aur har martaba kamyabi hasil ki yeh aisa record hai jis ki misal Squash mein to keya kisi aur khail mein bhi nahein milti,Positive,
 Iss zamane mein Jahangir ke khelaf aik match to keya aik game ya sirf aik point hasil kerna bhi un ke hareef ke leay fakhar ki bat samjhi jati thi,Positive,
 November 1986 mein Newzi Land ke Roos Norman ne woh karnama anjam deya jis mein guzashta panch sal sey bzayada arsa mein har aik nakam raha tha Norman kai martaba Jahangir sey shikast kha rahe they lakin 1986 ke world open final mein Squash ki dunia ka azeem tareen khelari zair ho hi gaya,Positive,
 Jahangir ne chand hi dino bad Norman ko kai moqablon mein hara ker world open ki shikast ka badla le leya aur apni kamyabton ka silsila jari rakha,Positive,
 Jansherbhi bila shuba aik azeem khelari they un ka moqabla Jahangir Khan ke sath 37 martaba hua 1993 ke world open final tak dono baraber yani 18 matches jeete they akhri moqabla Jansher ne jeeta iss tarah un ke darmeyan record 18 19 ho gaya,Positive,
 Jahangir ki retirement ke baad almi satah per Jansher Pakistan ki wahid umeed hua kerte they Jansher ne apne weaqt ke behtareen khelaryon ko mosalsal harate rahe aur khud shazonadir hara kerte they,Positive,
"Bradman ke des Australia ke mayanaaz batsman, bakamaal fielder aur bemisaal captain Ricky Ponting ko naqadeen aur shaiyqeen har lihaaz se aik lajawaab cricketer tasleem karte hain",Positive,
"In ka shumar apne mulk he nahi, duniya ke kamiyab tareen captains mein hota hai",Positive,
Jis ka khamyaza mukhalif team ke bowlers ko bhugatna parhta hai,Positive,
"Ricky duniya ke iklote batsman hain, jinho ne 2 martaba aik calendar saal ke dauran test matches mein 1500 se zaiyd runs score kiye",Positive,
Ricky Ponting ki qiyadat mein “ Yellow Shirts ” new dobara world cup jeeta,Positive,
Inho ne 37 test centuries banai hain aur is muaamley mein sirf Sachin Tendulkar se piche hain,Positive,
Ricky Ponting 2003 mein Wisden Leading Cricketer in the World aur 2006 mein Wisden Cricket of the Year ka aezaaz bhi hasil kar chuke hain,Positive,
19 December 1974 ko Australia ki riyasat Tasmania ke area Launceston mein aankh kholne wale Ricky Thomas Ponting ko apni salahiyaton ka loha manwane ke liye ziyada intezar nahi karna parha,Positive,
Inho ne 1995 mein sirf 20 baras ki umar mein he one dau ben ul aqwami matches aur test matches ka apna khata khol liya tha,Positive,
"In ka daur e urooj us waqt shuru hua, jab 2002 mein inhe Kangaroos ke One day squad aur phir 2 saal bad he test team ka bhi captain bana diya gaya",Positive,
"Candidates ki list khasi taweel hai aur is mein Steve Waugh, Ellen Barden, Sachin Tendulkar aur Brian Lara jaise bohat se shohra aafaaq batsman shamil hain, lekin aedaad o shumar Ricky Ponting ke haq mein gawahi dete hain",Positive,
Hashim ko bachpen se hi Squash se dilchaspi thi,Positive,
Khail ka talent un mein shooru se hi maujood tha aur achchey khelaryon mein shoomar keye jate they,Positive,
Apni aala salahyaton ki bunyad per Hashi Khan Ko British Air Force mein bahasyat Squash coach faiz kiya gaya tha,Positive,
Un Mushkil halat mein bhi Hashim Khan ne Squash se apna rishta nahein tora aur sakht jaddo jahad kerte rahe,Positive,
Hashim Khan ko apni salahyaton ka andaza us waqt hua jab unke rishtedar Abdul Bari 1950 ke British open final mein pahonche,Positive,
Chand hi salon mein Hashim ke khail ka meyar buland ho chukka tha lakin unhein uska ihsas nahein tha,Positive,
Hashim Khan iss baat se bakhubi waqif thay ke un ka khail Abdul Bari se kafi Behter hai,Positive,
Yeh intehai hairer ki baat thi ke woh (players) khelari jise apne watan mein khelne ki tamam sahooltein mayasser nahein thein duniya ke number aik(no one) khelari (player) ko  harane mein kamyab ho gaya,Positive,
Lakin Hashim Khan ke khail mein josh tha woh walwala tha aur sub se barh ker woh jazba tha jis se woh apne hum asar khelaryon ko zair kerne ki maharat rakhte thay,Positive,
Apne ala khail se Hashim Khan ne poori dunia ko hairat mein dal diya tha,Positive,
1956 tek woh British open mein na qabil e taskheer rahe yani yeh title woh 6 mertaba lagatar jeete,Positive,
Iss tarah Hashim Khan satween mertaba(7-time) British open jeetne mein kamyab huye jo aik naya record tha,Positive,
Woh apne daur ke azeem tareen khelari samjhe jate thay,Positive,
50 saal ki umer mein bhi woh aik naujawan khelari ko farig kerne ki salahiyat rakhte thay,Positive,
Hashim Khan ke khail ke ahem khubi yeh thi ke woh kisi bhi lamha himmat nahein harte thay,Positive,
Hashim Khan ka short jo sab se zaida mashoor huwa aur jo dekhne se taluq rakhta tha woh four hand cross kort drop short tha jis ke zariye Hashim Khan ne na sirf apne hareefon ko bikheir  ker rakh diya tha balke uss se Hashim Khan ne motadid points hasil kiye thay,Positive,
Roshan khan iss azeem tareen khelari ke walid hain jis ne iss khelon ko naya andaz diya,Positive,
Roshan Khan ke sahebzade Jahangir Khan ka nam Squash ki tareekh mein sunahre hooroof se likha jata hai,Positive,
Roshan Khan khud bhi apne daur ke aik behtareen khelari thay,Positive,
Unko shikst de ker Roshan ne ye sabit ker diya tha  ke Squash hi Misr ki bartari ikhtetam ki taraf gamzen hai,Positive,
Misr ke Mahmood Alkareem ko 1954 ke dunlop open ke final mein hara ker Roshan Khan ne apne Roshan mustaqbil ki naweed sunayi thi Mahmood 4 (char) martaba British open title jeet chuke thay aur apne waqt ke ala tareen khelari (player) mane jate thay,Positive,
Roshan Khan Bari jawan merdi se Hashim Khan ka moqabla kerte thay,Positive,
Kayi tournament ke final mein Hashim ke haton shikst khane ke baad Roshan Khan ne akhir kar 1957 ke British open final mein Hashim Khan ko zair ker hi deya,Positive,
Mahreen ne iss series ko world champion ship series qarar diya tha,Positive,
1957 mein Hashim Khan aur Roshan ne Australia and  New zealand ka daura kiya un dono ko wahan aik series khelne ke liya madu kiya gaya tha ta ke unka khail dekh ker maqami khelari apne khail mein nikhar paida karein teen matchon ki series Roshan Khan ne 2-1 se jeet li thi,Positive,
Iss tarah ye Roshan ke liye aik bahot bari kamyabi thai,Positive,
"Cricket ki duniya ne ab tak jo azeem tareen player paida kiye, in mein Brian Lara top of the list hain",Positive,
Inhe cricket ki duniya mein The Prince bhi kaha jata hai,Positive,
"Brian Lara aik aise batsman hain jis ke gunn cricket ki duniya ke shaiqeen aur cricketers, sab he gaate hain",Positive,
" In ki salahiyaton ko dekhte hue inhe Sir Dawn Bradman, Jawed Miandad, Sir Lan Hatton, Sir Garry Sobers, Sunil, Berry Richards aur Sachin Tendulkar jaise mayanaz batsman ki suff mein shamil kiya jata hai",Positive,
Inho ne west indies ki nakaam hoti hui team ko sambhala aur is ki kamiyabi ke liye sara bojh apne kandhon par utha liya,Positive,
"Brian Lara ne 131 test matches mein 11953 runs score kiye, wo test matches mein sab se ziyada runs banane ke aitebar se duniya mein 4th number par hain",Positive,
Inho ne aik roza matches mein 299 innings khel kar 40,Positive,
Wo munfarid aur barhe records ke maalik hain,Positive,
5 roza cricket mein kae martaba sab se barhi inferadi innings khel kar aalmi record bana chuke hain,Positive,
Yeh 5 roza test match mein kisi bhi cricketer ka ab tak sab se barha score hai,Positive,
Brian Lara ko first class cricket mein yeh aezaaz bhi hasil hai ke wo aik he innings mein 501 runs banane wale wahid batman ban gae,Positive,
 Yeh aezaaz inho ne 1994 mein Kashair County ke liye khelte hue sabiq Pakistani cricketers Haneef Mohammad ka record torh kar hasil kiya,Positive,
"Cricket ki duniya par raaj karne wale Brian Lara sehar angaiz bating mein to kamiyab rahe, magar west Indian team ki captainship in ke liye masla bani rahi",Positive,
" In ke retirement ke faisley par sabiq west indies fast bowler Wesley Hall ne afsoos ka izhaar kiya, Joel Garner aur Michael Holding ne kaha ke Brian Lara aik ache khiladi hain, in ki is salahiyat se faida uthaya ja sakta hai aur west Indian bating ki bartari barqarar rakhne au rise aage barhane mein madad mil sakti hai",Positive,
Azam Khan bare mehnati aur housla wale khelari thay,Positive,
Azam Khan mein yeh khoobi maujood thi ke woh apne hareef ko jald hi qaboo pane ki salahyat rakhte they,Positive,
Lekin 1959 se Azam Khan ki kamyabyon aur kamranyon ka daur shooru huwa who char martaba mosalsal British open title jeetne mein kamyab huye jo aik bahat bara karnama tha,Positive,
Saiqeen ye samajh rahe thea ke final bahat sakht aur sansani khaeez hoga keyon ke do aala paye ke khelari (players) aik doosre ke madd e moqabil thay dono aik aik mertaba British open jeet chuke thay aur aik bahot hi kante dar final ke tawaqqa thi,Positive,
Cort mein maujood shaiqeen ko us waqt zaberdast hairat hue jab sirf chan minutes mein Azam Khan ne match jeet liya,Positive,
naujawan Mohibullah ne apne tajurba kar mamoon ke khelaf lajawab khail ka mozahra kiya,Positive,
Panchween aur faisla kun set mein Azam Khan ko bahat iehteyat beratna pari aur apne tamam tajurbe ko barue kar lana para,Positive,
tawaqat ke motabiq yeh match bhi dilchasp aur sansani khaiz raha dono khelari (palyer) jarhana andaz apnate rahe aur shaiqeen ala khail seylutf andoze hote rahe,Positive,
yeh moqabla bhi akhir tak dilchasp raha aur tareekh  ne apne app ko dohraya yani panchween aur faisla kun set mein Azam Khan aik martaba phir bazi ley gaye,Positive,
Azam Khan aik phurteele khelari they aur Hashim Khan jaise Azeem khelari (palyer) bhi un se sanbhal kar khela kerte thay,Positive,
British open ke elawa deeger bainul aqwami moqablon (International Squash Competitions) mein bhi Azam Khan ne kayi ahem kamyabyan hasil kein,Positive,
Ball poar jadooi giraft se inhe rafter aur swing ko qaboo karne ka hairat angez fun aata hai,Positive,
Aik he action mein fast speed se wicket ke dono taraf ball karne ka fun,Positive,
swing ke sultan ko duniya ke azeem tareen bowlers ki list mein shamil karta hai,Positive,
 Jab ke inho ne 356 one day matches mein kul 502 wickets apne naam ki hain,Positive,
1992 ke cricket world cup ke final mein in ki tabahkun bowling aur ghomte hue Yorkers ne aik taraf to mukhalif team ki kamar torh di to dosri taraf inhe cricket ke shaiyqeen mein gher mamoli maqboliyat dila di,Positive,
Inho ne khud ko mutadid baar Imran Khan ka haqeeqi jaan nasheen sabit kiya aur kae matches mein Pakistan ki numaiydegi ke sath captain ke faraiyz bhi anjaam diye,Positive,
Lekin is se in ki karkardegi mein koi farq nahi aaya,Positive,
Inho ne fast bowling mein wo khobsurti paida ki,Positive,
Yaqinan yeh baat koi nahi janta hoga ke 3 June 1966 ko Lahore mein paida hone wala yeh ladka aik din duniya e cricket ka sab se ziyada tabahkun bowler sabit hoga,Positive,
Inhe bhi cricket se lagao ho gaya aur Wasim 12 baras ki umer mein apne school ki team ke bowling aur bating opener the,Positive,
15 saal ki umer mein school ki team ke captain ban gae,Positive,
 In ki gher mamooli karkardegi ne maqami kalbon ki tawajja hasil kar lit hi,Positive,
Jab in ki umer 18 baras hui to in ki “ In Swinger Balls ” ki shohrat hone lagi aur inho ne fast baller Khan Mohammad ki tawajja hasil kar li,Positive,
"Javed Miandad Wasim Akram ki bowling dekh kar bohat mutassir hue aur inhe ke zor dene par Wasim Akram ko New Zealand ke khilaaf Patterns Eleven ke 3 roza match ke liye team ke 14 players mein shamil kar liya gaya, jis ke bad 1984 mein inhe New Zealand ke khilaf Faisalabad mein hone wale aik roza international match ke liye team mein muntakhib kiya gaya",Positive,
Phir inhe New Zealand ke tour ke liye bhi nominate kiya gaya,Positive,
"Wasim Akram one day cricket mein ziyada khush nazar aate hain, jahan wo duniya ke behtareen all rounder kehlae",Positive,
1989 – 90 ki series mein Adelaide test mein inho ne Imran Khan ke sath bating karte hue qaumi team ko yaqeeni shikast se bacha liya tha,Positive,
1992 ke bad inhe cricket ki duniya ka sab se ziyada tez aur sab se ziyada tabahkun bowler qarar diya jane laga,Positive,
"1999 ke wolrd cup mein wo qaumi team ko final tak na qabil e shikast le gae, lekin final mein Pakistan ko Australia se shikast hui",Positive,
Tahum yeh ilzaam sabit na ho saka,Positive,
Wasim Akram pehle bowler hain jinho ne yeh hadaf hasil kiya hai,Positive,
Inhe 17 baar test matches mein aur 22 bar one day mein “ Man of the Match ” muntakhib kiya gaya hai,Positive,
Jab ke inho ne test mein 2 aur one day mein bhi 2 hat ricks ki hain,Positive,
Wasim Akram apne career ke urooj mein har aik ki tawajja ka markaz the,Positive,
2011 mein Wasim Akram ki mulaqat Australian khatoon Shaniera Thompson se hui aur 2 baras bad wo Shaniera ke sath shadi ke bandhan mein bandh gae,Positive,
Wasim Akram pukhta iradon ke malik hain,Positive,
In ek iradon ki pukhtagi ka andaza is baat se lagaya ja sakta hai ke 30 baras ki umer mein he in ki diabetes ki tashkhees ho gait hi,Positive,
"Is ke bawajood na sirf yeh ke inho ne apne khel ko mutassir nahi hone diya, bal ke wo apni fitness barqarar rakh kar amlan diabetes ko ab tak shikast dete aa rahe hain",Positive,
"Cricketer ki hasiyat se Intikhab Alam ne bowling, batting aur captain mein esa kuch khas zaror kiya hai jo tarikh mein un ka naam zindah rakhne ko kafi hai",Positive,
"Retirement ke bad wo coach aur manager ke tor par quami team ka tawil hissa rahe aur is sare dor mein Pakistan ne bohat si yadgar fatohat hasil kein, jin mein numayan tar 92 ke worldcup mein kamyabi hai",Positive,
"Pakistan cricket board mein unche oddon par faiz rahe, sar e dast director domestic cricket hain",Positive,
Test cap hasil kar lene par bowler ki khuwahish hoti hai bas jald azjald apna phela wicket hasil kar le,Positive,
In 2 sorton se hat kar test cricket tarikh mein 19 qismat ke dhani ese guzre hain jinhon ne apni pheli bowl par hi batsman ko thikane laga diya,Positive,
Intikhab Alam Pakistan ki taraf ke test double karne wale phele cricketer hain yani 200 wickets aur 1000 runs banane wale,Positive,
1973 mein Pakistan ne New Zealand ko us ki sarzamen par zer kiya to is tarikhi fatah mein Intikhab Alam ne 11 wickets le kar bunyadi kirdar ada kiya,Positive,
Batting mein bhi kai bar kare waqat mein team ki ayanat ko aaye,Positive,
First class cricket mein bhi Intikhab Alam ke cricket ka sitara khub chamka,Positive,
County cricket mein Intikhab Alam ke johar khub khule,Positive,
1971 mein Sire county 13 saal bad county champion bani to us mein Intikhab Alam ki umdah bowling ka bhi dakhal tha,Positive,
"1970 mein middle sixes ke phel 8 batsmanon ko pavilion ki rah dikhai nawan (9th)bhi un ka shikar ban jata agar Robin Jackman, jihon ne akhiri 2 khilari out kiye, un ki bowl par aasan catch na gira dete",Positive,
Pakistan cricket team ke captain ki hesiyat se un ki khidmat ko nazar andaz nahi kiya ja sakta,Positive,
Abdul Hafeez Kardar ki retirement ke bad Pakistani cricket mein banjar dor aaya aur 60 ki dihai mein humari karkardagi dawan dol rahi,Positive,
Is arse mein England ke aik dore mein hum aik sires 4-0 se hare to dosri mein 2-o se,Positive,
in dosron ke bad Pakistani team ne jo dere kiya in mein Intikhab Alam ki catnaini mein behtareen karkardagi ka muzahirah kiya,Positive,
Wisdon ne likha ke Pakistan is dore mein haqiqi qowat ke tor par ubhra hai,Positive,
1974 ki series mein hum na koi test match hare or na koi first class match,Positive,
1948 mein Bradman ki “The Invicibles” team ke bad Pakistan ki pheli team thi jo baghar koi match hare England se wapis palti,Positive,
In doron mein team ka hissa rehne wale Imran Khan ka kehna hai ke team par goron ka is qadar nafsiyati dabao hota ke hum jeta howa match har jate,Positive,
"Is bare mein jab Intikhab Alam se pocha to unhon ne bataya, un dinon doron mein hum ne bari achi karkardagi dekhai",Positive,
"7 larke England mein county khel rahe the, jis se un ko bohat kuch sekhne ko mila",Positive,
"Ye durust hai ke aik do martaba hum jeet ke kafi nazdik aaye, magar har gaye, to is ki wajah khuf aur dabao nahi tha",Positive,
"Is mudat mein cricket ke sath job hi acha bura howa is ke bare mein first hand information un ke pass bohat hai, lekin barae naam maslehatan khlte nahi, aur esi baat kam hi batate hain, jis se tarikh ka record durust ho sake",Positive,
Pakistan team mein hone wali baghawaton ka zikar karen to baat gol kar jayen ge,Positive,
Manager ke tor par nakhushgawar waqeyat ke bare mein daryaft karen to bhi tal jate hain,Positive,
Is sort e haal mein Intikhab Alam Imran Khan ke sath khare rahe,Positive,
Intikhab Alam Pakistan ki one day team ke phele captain hain,Positive,
Pakistan ne sire se practices match khela to unhon ne county team ki taraf se 95 runs bana dale,Positive,
Is moqe par wahan mojud tamashaiyon ne team se un ke ikhraj par ahtejaj bhi kiya,Positive,
"Hanif Muhammad ke benul aqwami cricket se alag hone se mutaliq pocha to wo bole “Hanif Muhammad kamal ke batsman the, un ke ghuthne mein problem thi, team mein bhi ahsas yehi tha kea b unhen retire ho jana chaheye",Positive,
Main nahi samajhta ke Kardar ne un ki retirement ke silsile mein koi zabardasti ki,Positive,
Idhar cricket ke leye ghar ke indar aur barah mawafiq mohol mayasar aaya,Positive,
Bare bhai Aftab Alam bare umdah cricketer the,Positive,
Intikhab Alam bare bhai ko khud se ziyadah basalahiyat qarar dete hain,Positive,
"Intikhab Alam jin ka dihan medium peser banne ki taraf tha, unhen bhai ne aik din kaha ke tum leg spin bowling par tawajah do, is fan mein s waqat koi taq nahi, ye baat Intikhab Alam ke dil mein ghar kar gai aur unhon ne khud ko leg spin bowling ke waste waqf kar diya",Positive,
Church Mission School mein un ki salahiyaton ko aur jila mili jahan kheel ka bara medan tha,Positive,
Robi Shield Inter school tournament mein bare kante ke muqable hote,Positive,
Net mein jab unhon ne Pakistani team ko bowlimg karai to Kardar mutasir howe,Positive,
1959 mein Pakistan eaglets ka hissa ban kar jo karkardagi dekhai is se pheli bar laga ke wo Pakistani team ka hissa ban sakte hain,Positive,
Phela ball kahen short na par jaye is leye ye amoman phela ball tez karte,Positive,
"Captain ke kehne par leg break karai jo par ka kafi tez nikli, batsman Colin Mc Donald cut marne ki koshish mein bowled ho gaya",Positive,
"Intikhab Alam ke baqol ye sab ALLAH ki beharbani thi, mujhe samajh nahi aya ke ye kiya ho gaya",Positive,
Stadium tamashaiyon ki taliyon se gonj utha,Positive,
Logon ka khayal tha ke hum innings ki shikast se do char hon ge lekin mere aur Asif Iqbal ke darmiyan nawen (9th) wicket ki sharakat mein 190 runs ka almi record abn gaya,Positive,
1973 mein Hyderabad mein New Zealand ke khilaf 138 runs aur 7 wicketen lena bhi Intikhab Alam ko nahi bhulta,Positive,
Pakistan ki team ki coaching to wo saal hasaal karte rahe lekin 2 seasons mein Intikhab Alam ne Bharati Punjab team ki coaching ki,Positive,
1971 mein mashriqi Pakistan mein bhuran ke dinon mein Pakistani team udhar phans gai to ese mein Intikhab Alam ne bhag dor kar ke team ki bahifazat maghribi Pakistan wapsi ko mumkin banaya,Positive,
"Intikhab Alam jo apne zamane mein behtareen leg spanner the, wo leg spin bowling ko cricket mein mushkil tareen art samajhte hain, jis mein maharat ke leye un ke khayal mei bohat ziyadah mashq aur maharat ki zarorat hoti hai",Positive,
"2 bete hain, zindagi se mutmain hai",Positive,
Mushkil tareen halat mein bhi umeed ka daman thame rakhne ko apni sab se bari qowat gardante hain,Positive,
Ideas phainkay gaye aur chand main se aik samne aya.,Positive,
Janab Hashir sahab aur Badshah Salamat ne exams k baad is project pe kaam shuru kiya.,Positive,
Ye bachay ko to sab kuch pata tha.,Positive,
Badshah salamat se unhoon ne guftogo ka kuch is tarha aghaz kiya:,Positive,
Lekin jab Sir Hashim ne kuch official baat karna shuru ki to andaza huwa k koi khatra nahi tha.,Positive,
"Phir ye suna, kay, aap jayen",Positive,
Aap ne socha k ja k kyoon na us bachay se baki dastaan ka hisa maloom kiya jaye jis ko ye kisi tarha maloom tha k aap ne buzzer takhleeq kiye thay.,Positive,
"Jab class khatam huwi to Hashim sahab ne class ko bola k aap k kuch seniors hain Taha aur Hashir, wo aap k sath mazak kar rahay hain.",Positive,
Bohat hi dilchasp maloom hota hai ye circuit.,Positive,
Aglay hi din circuit dekhne ko mila.,Positive,
Waqt nahi tha battery badalne ka to aap ne tape se dosre battery chipka dali thi.,Positive,
Monday k din Khuwaaroon k Badshah Salamat subha jaldi cycle ki madad se uni agaye.,Positive,
pe hastay rahay.,Positive,
SENTEC k Robot Maze walay competition main bhi hamari E-Knights ki aik robot (Metal Slug) hisa le rahi thi jis per kafi arsay se hamaray aziz Hashir sahab aur Samad sahab apni team k hamrah kam kar rahay thay.,Positive,
keh kr Gulzar sahab ne raghib (????) kiya jabkay (????) Panjwani sahab ko nashtay ki lalach se Badshah Salamat ne mael (????) kiya.,Positive,
"Badshah Salamat, Panjwani aur Bilal sahibaan ne n ki purzoor (?????) moral support main apni neendain puri keen. ",Positive,
Raat ko Panjwani sahab k hath aik marker bhi lag gaya jis se wo sotay huway logon ki shakloon (?????) per khakay (????) bana kar purlutf (?????) hotay rahay.,Positive,
